VARIETY,FIBER,MSTWT,POPN,TRS_TON,TCA,T_SPACRE
2001520,12.2823585,2.172158256,42407.84039,244.7010549,46.05827031,11270.50733
2001521,11.76922972,2.344062757,45773.68988,236.7720731,53.64820085,12702.39573
2001522,12.57990678,2.431017757,44130.29794,239.8853393,53.64076896,12867.63406
2001523,12.35909706,2.006643467,37628.60293,261.2099687,37.75359512,9861.6154
2001524,12.20526499,2.386418688,44418.56388,237.1190286,53.00064547,12567.46157
2001525,12.20517271,2.272900222,40628.38618,247.5039269,46.17213398,11427.78447
2001526,11.5964127,2.324080091,39627.16153,244.9057039,46.04834859,11277.50322
2001527,12.13004369,2.077044917,42785.97281,233.0902575,44.43419367,10357.17764
2001528,11.64032733,2.43245211,37499.30159,245.5019792,45.60762764,11196.76285
2001529,11.72171529,2.330030147,38862.29192,250.3288571,45.27515588,11333.67803
2001530,12.16831253,2.517633575,41437.69172,239.585144,52.16246197,12497.35096
2001531,12.28708246,2.219036757,40546.53068,251.8930292,44.98712097,11331.94218
2001532,12.31552239,2.281506782,39809.31474,253.084761,45.41261078,11493.23975
2001533,11.74575772,2.297233091,39467.063,244.9832488,45.33252156,11105.70841
2001534,11.59291984,2.230340385,39037.19339,259.7758546,43.53311447,11308.85201
2001535,11.64139113,2.376676658,39141.30157,249.2948028,46.5131089,11595.47631
2001536,11.62317524,2.414436904,45243.48817,237.6926057,54.61877375,12982.47865
2001537,12.46198702,2.284967481,46625.48243,238.5202768,53.26885557,12705.70218
2001538,11.63419601,2.255459083,48405.47863,216.4225275,54.58828822,11814.13531
2001539,11.63419601,2.24064575,48535.38665,233.9693477,54.37530391,12722.15439
2001541,12.39809835,2.084556338,43601.02363,252.6207406,45.44439508,11480.19674
2001542,12.30172545,2.322986826,48182.81253,236.3027956,55.96401937,13224.45423
2001543,12.27346568,2.151446601,42266.02099,246.9931517,45.4665436,11229.9249
2001544,12.2703709,2.310522054,39008.8857,253.2556897,45.06544536,11413.08045
2001545,11.48693957,2.227861249,39927.9554,246.7586802,44.47697229,10975.07898
2001546,11.99690438,2.438150736,42550.02821,243.760212,51.8716913,12644.25447
2001547,12.61034745,2.388398393,45457.94603,242.6527457,54.28584262,13172.60877
2001548,12.33223177,2.337024992,44349.49861,244.7740496,51.82294332,12684.9117
2001549,12.09417655,2.189012201,50036.53161,226.245628,54.7652891,12390.40722
2001550,12.26430404,2.45259404,43518.21421,250.3571612,53.3662564,13360.62446
2001551,12.60929694,2.082584915,39927.47014,254.5587585,41.5761735,10583.57911
2001552,12.04104895,2.558967992,42046.70925,242.500213,53.79809157,13046.04866
2001553,12.32278841,2.38007801,38051.00286,250.4852596,45.28217758,11342.51801
2001554,11.97173303,2.318631462,47189.78595,237.5436235,54.70786119,12995.50358
2001556,12.43771839,2.347687249,46301.06103,247.6043917,54.3502053,13457.34952
2001557,11.92667965,2.265073882,49395.42157,220.0360176,55.94213964,12309.28562
2001558,12.00465871,2.16287827,41494.40048,252.4682005,44.87366856,11329.17435
2001559,11.63419601,2.268470181,47923.65011,227.3110651,54.35668562,12355.8761
2001560,12.12564903,2.488591513,43604.90801,244.5752645,54.257402,13270.01845
2001561,11.93146268,2.119146964,40202.7913,254.016525,42.59781156,10820.54807
2001562,11.78082041,2.408166949,45690.59527,235.1137201,55.0152907,12934.84966
2001563,12.27056439,2.247104716,47063.13151,218.6397798,52.87789238,11561.21075
2001564,12.08198769,1.945826847,38534.27389,263.7951692,37.49051233,9889.816044
2001565,12.10856869,2.295023974,47675.05204,243.3330888,54.7076937,13312.19209
2001566,13.01857168,2.364779848,45369.86022,265.2296715,53.64486558,14228.21007
2001567,12.07144415,2.213002838,47355.729,245.5057352,52.39918134,12864.29954
2002095,12.53475577,2.320028357,34744.57384,252.7737907,40.30419828,10187.84498
2002096,12.86035967,2.286910902,34566.30407,237.3073928,39.52502881,9379.581537
2002097,12.3539613,2.245686405,27670.17778,247.3768159,31.06927103,7685.81734
2002098,12.91865832,1.892792124,39821.77391,244.5920568,37.68717001,9217.982428
2002099,12.92106907,2.299701629,31209.34215,246.2389712,35.88608749,8836.553264
2002316,12.61894316,1.988556968,41077.34662,245.5040363,40.84232192,10026.95488
2002320,12.00431955,2.047403096,43223.04618,232.9837214,44.24749928,10308.94705
2002322,12.50689684,2.133607663,40680.80544,238.8659678,43.39843911,10366.41016
2002323,11.48870983,2.102510382,40708.42641,240.1130883,42.79494458,10275.62631
2002324,12.68765105,2.042036746,40499.98273,243.051601,41.35122647,10050.4818
2002325,12.74202008,2.024911074,40512.64701,243.5802103,41.01725378,9990.991303
2002326,12.37156998,2.0961106,39385.0812,237.4584294,41.27774309,9801.748044
2002333,12.60629755,2.099369475,40449.35341,236.2185888,42.45906892,10029.62134
2002336,12.33146481,2.176687772,40450.18704,240.7000287,44.02371375,10596.50916
2002341,12.46178807,2.091981893,40569.76634,238.6618022,42.43560829,10127.75875
2002342,12.0054893,2.074492861,40604.34243,243.0103857,42.11670925,10234.79776
2002343,12.18842682,2.119679567,40353.97386,242.6228889,42.76874692,10376.67693
2002353,12.27212149,2.144832531,42125.97755,239.0787302,45.17658352,10800.76022
2002354,11.60038217,2.11882363,41441.96444,229.6447022,43.90410676,10082.34552
2002600,12.36180653,2.135861823,42825.17019,250.9797876,45.73432304,11478.39068
2002601,11.93289205,2.069644525,44001.21006,243.448304,45.53343175,11085.03673
2002602,12.39489488,2.403481008,43761.43378,243.5630374,52.58988749,12808.95273
2002603,11.62569275,2.141515126,42005.60011,246.7797977,44.97781401,11099.61584
2002604,12.00106825,2.077027357,47257.51932,250.7383681,49.07758023,12305.63238
2002605,12.25215964,2.183311286,46539.42173,239.3706383,50.80502235,12161.23063
2002606,12.33367039,2.320281012,44031.4103,247.0630552,51.08262263,12620.62881
2002607,11.47305628,2.313468951,45480.75355,240.8724249,52.6091556,12672.09488
2002608,12.33528187,2.428069493,43324.46039,241.0246953,52.59740029,12677.27238
2002609,12.22675762,2.452056788,42278.69675,246.089114,51.83488268,12756.00035
2002610,12.59848437,2.056365284,40439.63137,250.4130152,41.57932702,10412.00465
2002611,12.23122284,2.273245579,45720.37364,245.8792137,51.96681862,12777.5605
2002612,11.91193459,2.239050382,38502.76617,249.8036705,43.10481665,10767.74142
2002613,12.43756821,2.499102603,43358.45834,238.8708314,54.17861805,12941.69154
2002614,12.53711742,2.310718134,45487.02456,241.29316,52.55384626,12680.88363
2002615,12.46560208,1.987262223,44446.13896,248.327313,44.16306646,10966.89563
2002616,11.67225682,2.159182127,46378.82722,250.7172125,50.0701674,12553.4528
2002617,12.47985816,2.219774036,44896.71213,247.1920435,49.83027794,12317.64823
2002618,12.29846285,1.864798928,44007.51223,253.0154151,41.03258082,10381.87547
2002619,12.04424338,2.55063776,43883.58156,243.0412373,55.96556009,13601.93897
2002620,12.375419,1.861982489,44154.40503,252.145997,41.10736449,10365.0574
2002621,12.30458031,2.02005366,42890.54991,250.4731344,43.32060616,10850.64801
2002622,12.36238512,2.063074433,41345.39047,249.7945093,42.649309,10653.56321
2002623,12.2994327,1.9193026,39009.85254,261.0564072,37.4358557,9772.86999
2002624,12.19032667,1.970446116,43672.40129,247.1141222,43.02705675,10632.59336
2002625,12.14902011,2.026396769,41945.1236,250.3035138,42.49873147,10637.58182
2002626,12.5944534,2.235040426,43180.44502,249.8180645,48.25502012,12054.97573
2002627,12.29530067,2.115822217,46887.87679,246.5727932,49.60320571,12230.80098
2002628,12.39722201,2.10704657,47886.20367,247.0250054,50.4492306,12462.22146
2002629,12.26603252,2.06194304,43710.79841,249.2879671,45.06458828,11234.0596
2002630,12.58031998,2.358915806,45085.84122,246.2906548,53.17685174,13096.96164
2002631,11.78193105,2.268894333,41591.83702,249.4304618,47.18374166,11769.06247
2002632,12.11513626,2.037742377,41429.5138,253.7351043,42.21133796,10710.49824
2002633,12.56554154,2.233236587,45377.77371,243.9580293,50.66965224,12361.26851
2002634,12.35972768,2.118766547,40625.38749,248.3235346,43.03785599,10687.31252
2002635,12.3987712,2.278057011,43728.79525,244.3307967,49.8083443,12169.71245
2002636,12.40597919,2.110109129,41161.09078,245.8080348,43.42719671,10674.75388
2002637,12.45698155,2.119035822,43437.19951,244.3232119,46.02249088,11244.36279
2002638,11.91640835,2.335891647,45110.8221,249.7126773,52.68699627,13156.6109
2002639,12.38436418,1.992241705,41787.32505,252.6930031,41.62522585,10518.40333
2002640,11.82665096,2.155035449,40144.50712,255.2736495,43.25641796,11042.22368
2002641,12.59708249,2.417268997,41935.43936,245.6999446,50.68461872,12453.20801
2002642,12.05192686,2.311875663,41127.4436,248.9878309,47.54076797,11837.0727
2002643,12.64242165,2.38131043,44641.866,240.8811606,53.15307056,12803.57333
2002644,12.53764058,2.431137066,42751.94007,244.7680601,51.96791307,12720.08527
2002645,12.79363292,2.433305032,42444.42699,247.0649843,51.64011889,12758.46516
2002646,12.04498058,2.366107923,40494.69614,244.1002145,47.90741069,11694.20923
2002647,12.57311297,2.443057811,42731.46999,244.7749472,52.19772577,12776.69557
2002648,12.27016653,2.337810737,41383.75652,247.1832274,48.37369516,11957.16609
2002649,12.23964282,2.368547097,42832.17304,245.1344586,50.72500956,12434.44776
2002650,11.92652219,2.349225956,44147.78629,245.2906415,51.85656273,12719.92954
2002651,12.25172662,2.398733861,43757.0967,246.4758843,52.48081476,12935.25523
2002652,12.11093439,2.065251826,41634.46843,249.2344212,42.99283097,10715.29334
2002653,12.75174291,2.181251915,38949.43328,250.5150611,42.47926297,10641.69516
2003364,12.49167233,2.193340492,40249.024,236.5790112,44.13990705,10442.57556
2003365,12.60640893,2.286967672,37027.54608,239.5086366,42.34040043,10140.89158
2003371,11.17424279,1.897989572,32056.22628,277.1908328,30.4211916,8432.475434
2003374,12.00868076,2.263356117,39919.33175,243.0387108,45.17583185,10979.47593
2003378,12.32274776,2.049507848,40013.39105,249.1124594,41.00387949,10214.57726
2003381,11.64977295,2.165852385,38468.49497,243.2871344,41.65854079,10134.98701
2003386,12.21857833,2.117773598,37781.15238,239.5147637,40.00596351,9582.018896
2003387,12.06309084,2.205990167,38762.95735,236.9608269,42.75535138,10131.34342
2003390,12.76394304,2.123802131,41528.40822,236.08222,44.09906094,10411.00421
2003391,12.54480577,2.160777505,38967.47823,243.8201719,42.10002519,10264.83538
2003392,12.13851638,2.096581441,39878.52713,244.2582446,41.80428994,10211.04248
2003393,12.48512893,2.221659688,36625.96749,240.6663192,40.68521775,9791.561603
2003396,12.49995338,2.022209097,38884.39119,250.337322,39.3161848,9842.308414
2003397,12.7668009,1.98956273,41841.16297,239.8720875,41.62280921,9984.150133
2003700,12.35141542,1.967080457,49632.29655,223.6553787,48.81536029,10917.81789
2003701,12.24588668,2.11020887,45643.25276,230.1860983,48.15839841,11085.39383
2003702,12.59944348,2.090042267,47815.64987,243.2780887,49.96836463,12156.20824
2003703,11.93158295,2.325234197,38354.38524,250.0112533,44.59146408,11148.36782
2003704,12.42668682,2.042339238,41323.17285,253.2986214,42.19796868,10688.68729
2003705,12.34077111,1.963696143,49847.82006,221.908798,48.94298599,10860.87919
2003706,12.47641551,2.071927034,46497.31484,222.8201632,48.16952181,10733.14071
2003707,12.22613774,2.102341805,45769.93748,249.8309501,48.11202649,12019.87329
2003708,12.69432911,2.028590201,41286.19127,258.1775356,41.87638152,10811.54098
2003709,11.81161157,2.000245433,50015.13199,226.1544993,50.02126967,11312.5352
2003710,12.29976389,2.093819318,47531.03047,220.1015122,49.7606949,10952.4042
2003711,12.25332755,2.288395316,37213.15058,251.2987483,42.57919974,10700.0996
2003712,12.38543229,2.331512107,43670.60954,239.2382108,50.90927743,12179.44445
2003713,12.13892863,2.192299113,39185.534,251.1885463,42.95320572,10789.3533
2003714,12.84331287,2.117754006,40226.84118,245.3181634,42.59527703,10449.39513
2003715,12.43809739,2.052881144,48836.63178,223.7335598,50.12790026,11215.29357
2003716,12.2871994,2.137522942,40703.44004,252.9893834,43.50226845,11005.61207
2003717,12.13776071,2.295229959,38479.30108,247.7391545,44.15942232,10940.01795
2003718,12.76495831,2.067354566,40441.54377,253.8025621,41.80350508,10609.8367
2003719,13.01798205,2.309052587,37504.69373,248.3757686,43.30015504,10754.70929
2003720,12.34069806,2.148747217,39593.78336,245.8739192,42.5385159,10459.11162
2003721,12.10032151,2.235874759,35262.43449,241.4364716,39.42119361,9517.713891
2003722,11.81322731,2.337204401,45782.28454,239.585144,53.50127846,12818.1115
2003723,12.46500397,2.121845985,45938.4782,226.2344377,48.73718776,11026.03027
2003724,12.26388635,2.388746518,44682.65481,248.8266329,53.36776805,13279.32203
2003725,12.55520922,2.374543482,35560.75726,248.0931237,42.22028218,10474.56169
2003726,11.82731219,2.289432681,36759.11478,254.8237387,42.07875935,10722.66678
2003727,12.55509635,2.151998236,39233.31695,241.1653805,42.21501443,10180.80002
2003728,12.15307643,2.057783322,48495.79648,235.6743518,49.89692059,11759.42442
2003729,12.33509629,2.204447183,47063.13151,234.2272425,51.87409384,12150.32596
2003730,12.28408754,2.112174649,40767.70633,248.6308726,43.0542579,10704.61771
2003731,12.32953836,2.276742888,36138.59384,246.0551737,41.13914325,10122.49904
2003732,12.35428838,2.213015392,45949.54118,248.0044614,50.84352094,12609.42003
2003733,12.39855946,2.199618166,47134.92271,215.7366581,51.83941612,11183.66239
2003734,12.24588668,2.11020887,48826.75395,216.4225275,51.51732464,11149.50961
2003735,12.09593049,2.116108335,40898.77781,250.2768647,43.27312231,10830.26138
2003736,12.12495569,2.080834439,39115.20617,244.6474678,40.69613404,9956.206143
2003737,12.1790097,2.327908926,43930.47607,244.9235654,51.13307368,12523.69472
2003738,12.50387568,2.01363944,40763.38498,247.9466923,41.04137985,10176.07438
2003739,11.86420803,2.374284512,35371.37402,241.4471197,41.99085275,10138.57045
2003740,12.41823867,1.915343659,51613.73254,218.5651175,49.42901767,10803.45905
2003741,12.33993235,2.267287976,45602.75757,243.3432718,51.69729196,12580.18817
2003742,12.05352237,2.378810946,43410.39933,243.5835775,51.63256655,12576.84528
2003743,11.80327231,2.018203013,40617.11875,256.5577703,40.98679572,10515.48092
2003744,12.61780295,2.270297083,38891.87614,237.3233748,44.14805648,10477.36575
2003745,11.47429012,2.148800243,46967.47565,223.7462502,50.46186154,11290.6523
2003746,11.79668681,2.438184711,44116.14115,242.9307991,53.78165043,13065.21932
2003747,12.93303863,2.185254952,44769.68583,244.9033182,48.91658883,11979.83492
2003748,11.93758702,2.422224699,41726.20527,240.5906461,50.5351225,12158.27777
2003749,12.62357084,2.185387727,36948.62008,248.6562616,40.37353043,10039.13114
2003750,12.70503094,1.987706152,48136.44868,229.196211,47.84055759,10964.87453
2003751,12.85573023,1.893461675,48834.02597,229.1866337,46.23267831,10595.91191
2003752,11.81821679,2.278648441,45372.37302,242.7736334,51.69384352,12549.90222
2003753,12.51348108,1.936175614,51613.73254,224.2875683,49.96662515,11206.89285
2003754,12.49231316,2.313569504,45628.52508,242.940648,52.78238207,12822.9861
2003755,12.11035472,2.081451056,49005.80616,212.5748299,51.00159349,10841.65506
2003756,12.48122832,2.067261713,49621.73622,223.7335598,51.29055771,11475.41906
2003757,11.71819243,2.053933614,40273.27771,255.5924671,41.35931942,10571.13049
2003758,12.08627263,2.212792637,45366.75925,220.1015122,50.19361542,11047.69066
2003759,12.68655007,2.201707771,38283.79839,248.2290527,42.14486821,10461.58071
2003760,12.15812863,2.212177649,46554.16738,240.5276844,51.49304427,12385.5027
2004400,12.21747006,2.198213269,37893.38944,246.3741433,41.64887574,10261.20608
2004403,12.3975786,2.157014482,39938.35966,243.6507937,43.07381009,10494.96802
2004404,12.35917005,2.270007115,36304.4861,252.5532083,41.20572088,10406.63701
2004407,12.61445736,2.145348166,38548.88726,250.1368876,41.35039229,10343.25843
2004408,11.68335094,1.994514362,41678.69696,250.281413,41.56437984,10402.79172
2004409,12.41848071,1.912436199,39879.69068,253.7759181,38.13368203,9677.410168
